id	lon	lat	b_code
1	1	35.422	60.9569	6
72	2	39.2156	56.4647	4
185	3	38.9862	56.2684	4
260	4	33.0411	56.5048	4
375	5	36.8881	57.5911	6
470	6	37.4737	57.6522	6
585	7	34.7506	56.9764	4
674	8	32.0994	55.875	4
750	9	34.1316	56.6454	4
876	10	34.5164	56.9236	4
978	11	33.8538	54.695	4
1084	12	32.7304	55.1217	4
1179	13	44.557	59.8628	6
1284	14	30.7323	59.9354	6
1351	15	29.4263	59.9425	4
1418	16	29.1077	59.8753	4
1486	17	29.6469	59.8791	4
1565	18	29.9489	59.7902	4
1651	19	29.8645	59.7357	4
1749	20	29.4819	59.6541	4
1827	21	29.044	59.6612	4
1929	22	28.4919	59.7096	4
1997	23	28.2495	59.6335	4
2047	24	28.4683	59.6263	4
2129	25	28.5734	59.5498	4
2229	26	28.7894	59.6194	4
2346	27	28.5153	59.4134	4
2439	28	28.7821	59.4136	4
2545	29	28.8945	59.256	6
2630	30	28.7558	59.2848	6
2718	31	28.7888	59.1163	6
2798	32	28.8122	59.0116	6
2880	33	29.1074	58.8938	6
2953	34	28.8174	58.8827	4
3052	35	28.861	58.8374	4
3152	36	30.5761	56.2052	4
3259	37	30.4132	56.6076	4
3362	38	30.3008	56.7066	4
3459	39	30.1227	56.9351	4
3563	40	30.3263	57.022	4
3684	41	30.1608	57.0593	4
3819	42	30.1667	57.203	4
3951	43	29.917	57.2791	4
4001	44	29.9448	57.4467	4
4119	45	29.8111	57.5961	4
4221	46	29.9463	57.8036	4
4329	47	29.7386	57.8299	4
4442	48	29.7434	57.8897	4
4558	49	29.7137	58.0307	4
4667	50	29.7931	58.1304	4
4744	51	29.6221	58.1556	4
4834	52	29.4168	58.151	4
4940	53	29.607	58.2331	4
5028	54	29.1009	58.5302	6
5105	55	29.3383	58.5266	6
5191	56	29.5176	58.4517	4
5321	57	29.6709	58.3815	4
5442	58	29.0602	58.7029	4
5524	59	29.1099	58.6136	6
5606	60	29.3259	58.7152	6
5700	61	29.3003	58.8214	4
5750	62	30.7492	60.0198	6
5816	63	30.7482	59.7698	4
5910	64	30.7829	59.7009	6
6003	65	30.4117	59.6461	6
6094	66	29.8285	59.5531	4
6187	67	29.6745	59.3912	6
