map_ID,no_np,dir,lon,lat
628,-2,jug,36.5266,50.5376
2329,-2,vostok,41.6244,53.7754
628,0,jug,36.5266,50.5376
2329,0,vostok,41.6244,53.7754
3952,1,jug,31.4414,53.1804
878,1,sever,34.3373,61.6339
3736,1,severo-zapad,27.1289,58.9445
1577,1,vostok,38.1103,56.7984
3783,1,zapad,28.0055,56.9377
3953,2,jug,31.6965,53.1809
879,2,sever,34.6528,61.6175
3737,2,severo-zapad,27.3774,58.9902
1578,2,vostok,38.2714,56.8303
3782,2,zapad,27.8282,56.8757
3800,20,zapad,28.9389,56.3023
3955,3,jug,31.3685,53.0353
880,3,sever,34.7159,61.5447
3738,3,severo-zapad,27.486,59.0081
1925,3,vostok,38.471,56.8499
3713,3,zapad,28.0667,56.7774
3954,4,jug,31.6076,53.076
886,4,sever,34.9318,61.4089
3730,4,severo-zapad,27.6182,59.0043
1924,4,vostok,38.6947,56.829
3785,4,zapad,28.3864,56.9329
3956,5,jug,31.7961,53.1092
881,5,sever,34.6719,61.3753
3731,5,severo-zapad,27.8373,58.9926
3710,5,vostok,38.9685,56.8645
3787,5,zapad,28.7702,56.9463
885,6,sever,35.0129,61.1216
3732,6,severo-zapad,27.8546,59.0358
1579,6,vostok,38.1124,56.6964
3847,6,zapad,28.9738,56.926
3979,7,jug,32.2641,52.1425
876,7,sever,34.5413,61.0903
3722,7,severo-zapad,27.9321,59.0876
3709,7,vostok,38.4008,56.6744
3784,7,zapad,28.2693,56.8473
1712,428,jug,37.8045,51.763
3990,8,jug,32.7998,53.4266
882,8,sever,35.6318,61.1543
23,8,severo-zapad,28.2495,59.6335
1918,8,vostok,38.5338,56.6753
3786,8,zapad,28.5556,56.8445
3991,9,jug,32.9675,53.3749
883,9,sever,35.6676,61.1197
22,9,severo-zapad,28.4919,59.7096
1923,9,vostok,38.9043,56.7598
3792,9,zapad,28.1213,56.71
3946,10,jug,32.5885,53.1959
884,10,sever,35.4929,61.0496
24,10,severo-zapad,28.4683,59.6263
3788,10,zapad,28.4777,56.7673
3947,11,jug,32.9737,53.23
1449,11,sever,36.4543,61.6573
26,11,severo-zapad,28.7894,59.6194
3789,11,zapad,28.8437,56.7481
3950,12,jug,32.8414,53.14
4055,12,sever,36.7644,61.3588
25,12,severo-zapad,28.5734,59.5498
1580,12,vostok,38.2084,56.6272
3790,12,zapad,28.4808,56.6521
157,13,jug,32.1716,53.0585
4054,13,sever,36.662,61.3335
3717,13,severo-zapad,28.3892,59.4101
1917,13,vostok,38.4698,56.5842
3791,13,zapad,28.2705,56.5996
155,14,jug,32.4865,53.0393
4053,14,sever,36.4355,61.2694
27,14,severo-zapad,28.5153,59.4134
1919,14,vostok,38.7332,56.6061
3795,14,zapad,28.7175,56.6233
3949,15,jug,32.9425,53.0316
4052,15,sever,36.6634,61.2312
28,15,severo-zapad,28.7821,59.4136
1920,15,vostok,38.975,56.5937
3793,15,zapad,28.4168,56.4807
4051,16,sever,36.8664,61.1815
3721,16,severo-zapad,28.0836,59.1993
3794,16,zapad,28.7018,56.5462
173,17,jug,33.0159,53.5291
4050,17,sever,36.5555,61.1222
30,17,severo-zapad,28.7558,59.2848
3797,17,zapad,28.8585,56.5312
569,18,jug,33.5458,53.5429
1448,18,sever,36.2013,60.9889
29,18,severo-zapad,28.8945,59.256
1581,18,vostok,38.223,56.5288
3801,18,zapad,28.6616,56.4153
570,19,jug,33.817,53.5455
1450,19,sever,37.4529,61.5433
3720,19,severo-zapad,28.3526,59.1656
3802,19,zapad,28.4192,56.3519
171,20,jug,33.304,53.4866
1452,20,sever,37.2412,61.357
31,20,severo-zapad,28.7888,59.1163
1593,20,vostok,38.1247,56.4416
571,21,jug,33.6444,53.4437
857,210,sever,34.1135,59.5692
3723,21,severo-zapad,28.3041,59.0361
1916,21,vostok,38.3638,56.4388
3804,21,zapad,28.3212,56.2125
151,22,jug,33.253,53.3211
1453,22,sever,37.2721,61.2461
3724,22,severo-zapad,28.5334,59.0547
1915,22,vostok,38.5526,56.4709
3803,22,zapad,28.4983,56.2481
572,23,jug,33.5891,53.288
1454,21,sever,37.4451,61.2582
1455,23,sever,37.8966,61.2342
