From	To
L_12_25	0
L_22_160	0
L_35_50	0
L_53_10	0
L_62_111	0
L_71_30	0
L_76_33	0
L_79_113	0
L_88_55	0
L_92_18	0
L_92_131	0
L_92_141	0
L_93_171	0
M_7_44	0
M_33_22	0
M_35_33	0
M_35_88	0
M_44_10	M_44_11
M_44_11	M_44_12
M_52_44	0
M_58_66	0
M_66_22	0
M_76_66	0
M_78_33	0
M_87_20	0
M_93_22	0
M_97_8	M_97_11
M_97_9	M_97_12
M_97_12	M_97_13
M_97_13	M_97_14
M_97_14	M_97_15
M_100_55	0
M_101_22	0
M_107_88	0
P_5_80	0
P_9_1	P_11_1
P_9_2	P_11_2
P_9_3	P_11_3
P_9_4	P_11_4
P_9_5	P_11_5
P_9_6	P_11_6
P_10_1	P_12_1
P_10_2	P_12_2
P_11_1	P_13_1
P_11_2	P_13_2
P_11_3	P_13_3
P_12_1	P_14_1
P_12_2	P_14_2
P_12_3	P_14_3
P_12_4	P_14_4
P_12_5	P_14_5
P_12_6	P_14_6
P_13_1	P_15_1
P_13_2	P_15_2
P_13_3	P_15_3
P_13_4	P_15_4
P_13_5	P_15_5
P_13_6	P_15_6
P_13_7	P_15_7
P_14_1	P_16_1
P_14_2	P_16_2
P_14_3	P_16_3
P_14_4	P_16_4
P_14_5	P_16_5
P_14_6	P_16_6
P_14_7	P_16_7
P_14_8	P_16_8
P_14_9	P_16_9
P_15_1	P_17_1
P_15_2	P_17_2
P_15_3	P_17_3
P_15_4	P_17_4
P_15_5	P_17_5
P_15_6	P_17_6
P_15_7	P_17_7
P_15_8	P_17_8
P_15_9	P_17_9
P_16_1	P_18_1
P_16_2	P_18_2
P_16_3	P_18_3
P_16_4	P_18_4
P_16_5	P_18_5
P_16_6	P_18_6
P_16_7	P_18_7
P_17_1	P_19_1
P_17_2	P_19_2
P_17_3	P_19_3
P_18_1	P_20_1
P_18_2	P_20_2
P_18_3	P_20_3
P_18_4	P_20_4
P_18_5	P_20_5
P_19_1	P_21_1
P_19_2	P_21_2
P_19_3	P_21_3
P_19_4	P_21_4
P_19_5	P_21_5
P_19_6	P_21_6
P_20_1	P_22_1
P_20_2	P_22_2
P_20_3	P_22_3
P_20_4	P_22_4
P_20_5	P_22_5
P_20_6	P_22_6
P_21_1	P_23_1
P_21_2	P_23_2
P_21_3	P_23_3
P_21_4	P_23_4
P_21_5	P_23_5
P_21_6	P_23_6
P_21_7	P_23_7
P_21_8	P_23_8
P_21_9	P_23_9
P_21_10	P_23_10
P_21_11	P_23_11
P_21_12	P_23_12
P_21_13	P_23_13
P_21_14	P_23_14
P_22_1	P_24_1
P_22_2	P_24_2
P_22_3	P_24_3
P_30_6	0
P_45_90	0
S_3_5	0
